1,Balnagar ,1,06-Jan-21,06-Jan-21
2,Kamalanagar,1,06-Jan-21,06-Jan-21
3,Krishnadevaraya Nagar,1,06-Jan-21,06-Jan-21
4,Marrikunta,1,06-Jan-21,06-Jan-21
5,Ram Nagar,1,06-Jan-21,06-Jan-21
6,Sai Nagar,1,06-Jan-21,06-Jan-21
7,Teachers Colony,1,06-Jan-21,06-Jan-21
8,Vallabhnagar,1,06-Jan-21,06-Jan-21
9,Agraharam,2,06-Jan-21,06-Jan-21
10,Bhavani Basthi,2,06-Jan-21,06-Jan-21
11,Bheemnagar,2,06-Jan-21,06-Jan-21
12,Eswar Nagar,2,06-Jan-21,06-Jan-21
13,Nallakunta,2,06-Jan-21,06-Jan-21
14,Raghavendara Basthi,2,06-Jan-21,06-Jan-21
15,Somanadri Basthi,2,06-Jan-21,06-Jan-21
16,Vedha Nagar ,2,06-Jan-21,06-Jan-21
17,Allampur,3,06-Jan-21,06-Jan-21
18,Bukkapuram,3,06-Jan-21,06-Jan-21
19,Kyathur ,3,06-Jan-21,06-Jan-21
20,Undevelli,3,06-Jan-21,06-Jan-21
21,Bonkur,3,06-Jan-21,06-Jan-21
22,Itikyala,3,06-Jan-21,06-Jan-21
23,Erravelli,3,06-Jan-21,06-Jan-21
24,Udhandapoor,3,06-Jan-21,06-Jan-21
25,Kodhandapoor,3,06-Jan-21,06-Jan-21
26,Shanthinagar,4,06-Jan-21,06-Jan-21
27,Ramapuram,4,06-Jan-21,06-Jan-21
28,Rajoli ,4,06-Jan-21,06-Jan-21
29,Mandhoddi,4,06-Jan-21,06-Jan-21
30,Manavapadu,4,06-Jan-21,06-Jan-21
31,Pedhapothulapadu,4,06-Jan-21,06-Jan-21
32,Borelli,4,06-Jan-21,06-Jan-21
33,Ieeja ,5,06-Jan-21,06-Jan-21
34,Pulikal,5,06-Jan-21,06-Jan-21
35,Uppala,5,06-Jan-21,06-Jan-21
36,Gattu,5,06-Jan-21,06-Jan-21
37,Baligera,5,06-Jan-21,06-Jan-21
38,Chagadhone,5,06-Jan-21,06-Jan-21
39,Aluru,5,06-Jan-21,06-Jan-21
40,Maldhakal,5,06-Jan-21,06-Jan-21
41,Yelukuru,5,06-Jan-21,06-Jan-21
42,Palvai,5,06-Jan-21,06-Jan-21
43,Birelli,6,06-Jan-21,06-Jan-21
44,Veerapuram,6,06-Jan-21,06-Jan-21
45,Puduru,6,06-Jan-21,06-Jan-21
46,Settiyatmakur,6,06-Jan-21,06-Jan-21
47,Dharur,6,06-Jan-21,06-Jan-21
48,Alvalpadu,6,06-Jan-21,06-Jan-21
49,Upperu,6,06-Jan-21,06-Jan-21
50,Kondapur,6,06-Jan-21,06-Jan-21
51,Kaluruthimmandhoddi,6,06-Jan-21,06-Jan-21
52,Pebber,7,06-Jan-21,06-Jan-21
53,Rangapuram,7,06-Jan-21,06-Jan-21
54,Gummadam,7,06-Jan-21,06-Jan-21
55,Velugonda,7,06-Jan-21,06-Jan-21
56,Chinnambaavi,7,06-Jan-21,06-Jan-21
57,Aiavaripally,7,06-Jan-21,06-Jan-21
