1,Wanapathy,06-Jan-20,06-Jan-20
2,Nagarkurnool,06-Jan-20,06-Jan-20
3,Palamuru,06-Jan-20,06-Jan-20
4,Ananthagiri,06-Jan-20,06-Jan-20
5,Sangareddy,06-Jan-20,06-Jan-20
6,Medak,06-Jan-20,06-Jan-20
7,Siddipet,06-Jan-20,06-Jan-20
8,Kamareddy,06-Jan-20,06-Jan-20
9,Indur,06-Jan-20,06-Jan-20
10,Nirmal,06-Jan-20,06-Jan-20
11,Adilabad,06-Jan-20,06-Jan-20
12,Manchiryala,06-Jan-20,06-Jan-20
13,Peddapalle,06-Jan-20,06-Jan-20
14,Jagityala,06-Jan-20,06-Jan-20
15,Karinagar,06-Jan-20,06-Jan-20
16,Bhupala Pally,06-Jan-20,06-Jan-20
17,Warangal Mahanagar,06-Jan-20,06-Jan-20
18,Janagama,06-Jan-20,06-Jan-20
19,Manukota,06-Jan-20,06-Jan-20
20,Khammam,06-Jan-20,06-Jan-20
21,Bhadrachalam,06-Jan-20,06-Jan-20
22,Suryapet,06-Jan-20,06-Jan-20
23,Nalgonda,06-Jan-20,06-Jan-20
24,Bhuvanagiri,06-Jan-20,06-Jan-20
25,Uppal Bhag,06-Jan-20,06-Jan-20
26,Malkajgiri Bhag,06-Jan-20,06-Jan-20
27,Secunderabad Bhag,06-Jan-20,06-Jan-20
28,Bowenpally Bhag,06-Jan-20,06-Jan-20
29,Kukatpally Bhag,06-Jan-20,06-Jan-20
30,Golkonda Bhag,06-Jan-20,06-Jan-20
31,Charminaar Bhag,06-Jan-20,06-Jan-20
32,Maheswaram Bhag,06-Jan-20,06-Jan-20
33,Dilshukhnagar Bhag,06-Jan-20,06-Jan-20
34,Bharkathpur Bhag,06-Jan-20,06-Jan-20
