Basti / Upamandal ID,Basti / Upamandal Name,Nagar ID,Created On,Modified On
90501001,Kakatiya Nagar,90501,08-Jan-21,08-Jan-21
90501002,Gandhi Girijan Colony,90501,08-Jan-21,08-Jan-21
90501003,Ravindra Nagar Colony,90501,08-Jan-21,08-Jan-21
90501004,Gandhi Nagar,90501,08-Jan-21,08-Jan-21
90501005,Bharat Nagar,90501,08-Jan-21,08-Jan-21
90501006,Balakrishna Nagar,90501,08-Jan-21,08-Jan-21
90501007,Old Ramanthapur,90501,08-Jan-21,08-Jan-21
90501008,Indira Nagar ,90501,08-Jan-21,08-Jan-21
90501009,Gokhle Nagar,90501,08-Jan-21,08-Jan-21
90501010,RTC Colony,90501,08-Jan-21,08-Jan-21
90501011,RamShankar Nagar,90501,08-Jan-21,08-Jan-21
90502012,PS colony,90502,08-Jan-21,08-Jan-21
90502013,Ganesh Nagar,90502,08-Jan-21,08-Jan-21
90502014,Madhura Nagar,90502,08-Jan-21,08-Jan-21
90502015,Srinivas Puram,90502,08-Jan-21,08-Jan-21
90502016,Kamakshi Puram,90502,08-Jan-21,08-Jan-21
90502017,Venkat Reddy Nagar,90502,08-Jan-21,08-Jan-21
90502018,Bapu Nagar,90502,08-Jan-21,08-Jan-21
90502019,Patel Nagar,90502,08-Jan-21,08-Jan-21
90502020,Prem Nagar,90502,08-Jan-21,08-Jan-21
90502021,Durga Nagar,90502,08-Jan-21,08-Jan-21
90502022,Raghunath Nagar,90502,08-Jan-21,08-Jan-21
90503023,MK Nagar,90503,08-Jan-21,08-Jan-21
90503024,Vinayaka Nagar,90503,08-Jan-21,08-Jan-21
90503025,Pochamma Basti,90503,08-Jan-21,08-Jan-21
90503026,Srinivasa nagar,90503,08-Jan-21,08-Jan-21
90503027,B.Kunta,90503,08-Jan-21,08-Jan-21
90503028,Jaiswal Garden,90503,08-Jan-21,08-Jan-21
90503029,Tirumala Nagar,90503,08-Jan-21,08-Jan-21
90503030,Tulasi Nagar,90503,08-Jan-21,08-Jan-21
90503031,Tilak Nagar,90503,08-Jan-21,08-Jan-21
90503032,New Nallakunta,90503,08-Jan-21,08-Jan-21
90503033,Golnaka,90503,08-Jan-21,08-Jan-21
90503034,Nehru Nagar,90503,08-Jan-21,08-Jan-21
90503035,Harischandrapet,90503,08-Jan-21,08-Jan-21
90504036,Ram Mandir,90504,08-Jan-21,08-Jan-21
90504037,Gurudwara,90504,08-Jan-21,08-Jan-21
90504038,Shivaji Nagar,90504,08-Jan-21,08-Jan-21
90504039,Ashok Bazar,90504,08-Jan-21,08-Jan-21
90504040,Maharaj Gunj,90504,08-Jan-21,08-Jan-21
90504041,Jambagh,90504,08-Jan-21,08-Jan-21
90504042,Pusala Basthi,90504,08-Jan-21,08-Jan-21
90504043,Badi Chowdi,90504,08-Jan-21,08-Jan-21
90504044,Kanda Swami Bagh,90504,08-Jan-21,08-Jan-21
90504045,Eswar Bazar,90504,08-Jan-21,08-Jan-21
90504046,Hanuman Tekdi,90504,08-Jan-21,08-Jan-21
90504047,Gun Foundry,90504,08-Jan-21,08-Jan-21
90504048,Boggula Kunta,90504,08-Jan-21,08-Jan-21
90505049,Ratna Nagar,90505,08-Jan-21,08-Jan-21
90505050,Barkatpura,90505,08-Jan-21,08-Jan-21
90505051,Lingam Pally,90505,08-Jan-21,08-Jan-21
90505055,Vikram Nagar,90505,08-Jan-21,08-Jan-21
90505052,Vikram Nagar,90505,08-Jan-21,08-Jan-21
90505053,Nimboli Adda,90505,08-Jan-21,08-Jan-21
90505054,Mothi Market,90505,08-Jan-21,08-Jan-21
90505056,Narayanguda,90505,08-Jan-21,08-Jan-21
90505057,Vittal Vadi,90505,08-Jan-21,08-Jan-21
90505058,Raj Mohalla,90505,08-Jan-21,08-Jan-21
90505059,Basheer Bagh,90505,08-Jan-21,08-Jan-21
90505060,Hider Guda,90505,08-Jan-21,08-Jan-21
90505061,Himayat Nagar,90505,08-Jan-21,08-Jan-21
90506062,Domal Guda,90506,08-Jan-21,08-Jan-21
90506063,Aravind Nagar,90506,08-Jan-21,08-Jan-21
90506064,Banda Mysamma,90506,08-Jan-21,08-Jan-21
90506065,Goshala basthi,90506,08-Jan-21,08-Jan-21
90506066,Arundhati Nagar,90506,08-Jan-21,08-Jan-21
90506067,SBI Colony,90506,08-Jan-21,08-Jan-21
90506068,Gandhi Nagar(CP),90506,08-Jan-21,08-Jan-21
90506069,Jawahar Nagar,90506,08-Jan-21,08-Jan-21
90506070,Ashok Nagar,90506,08-Jan-21,08-Jan-21
90506071,Vivek Nagar,90506,08-Jan-21,08-Jan-21
90506072,Chikkadapalli,90506,08-Jan-21,08-Jan-21
90506073,Bagh Limgam Pally,90506,08-Jan-21,08-Jan-21
90506074,Achaiah Nagar,90506,08-Jan-21,08-Jan-21
90506075,Padmacolony,90506,08-Jan-21,08-Jan-21
90507076,Bapuji Nagar,90507,08-Jan-21,08-Jan-21
90507077,Ganga Putra Colony,90507,08-Jan-21,08-Jan-21
90507078,Bhramamgari Gudi,90507,08-Jan-21,08-Jan-21
90507079,Musheerabad,90507,08-Jan-21,08-Jan-21
90507080,Bakaram,90507,08-Jan-21,08-Jan-21
90507081,Gemini Colony,90507,08-Jan-21,08-Jan-21
90507082,Hari Nagar,90507,08-Jan-21,08-Jan-21
90507083,Krishna Nagar,90507,08-Jan-21,08-Jan-21
90507084,AshokNagar,90507,08-Jan-21,08-Jan-21
90507085,Sanjeeva Puram,90507,08-Jan-21,08-Jan-21
90507086,Ramalayam,90507,08-Jan-21,08-Jan-21
90508087,Amber Nagar,90508,08-Jan-21,08-Jan-21
90508088,Lalitha Nagar,90508,08-Jan-21,08-Jan-21
90508089,Adikmet,90508,08-Jan-21,08-Jan-21
90508090,Dayananda Nagar,90508,08-Jan-21,08-Jan-21
90508091,Achyut Reddy Marg,90508,08-Jan-21,08-Jan-21
90508092,Vigyana Puri,90508,08-Jan-21,08-Jan-21
90508093,Vidya Nagar,90508,08-Jan-21,08-Jan-21
90508094,Prashath Nagar,90508,08-Jan-21,08-Jan-21
90509095,P G Hostels,90509,08-Jan-21,08-Jan-21
90509096,Law Hostels,90509,08-Jan-21,08-Jan-21
90509097,Engineering Hostels,90509,08-Jan-21,08-Jan-21
90509098,Manikeswary Nagar,90509,08-Jan-21,08-Jan-21
90509099,D D Colony,90509,08-Jan-21,08-Jan-21
90509100,C E  Colony,90509,08-Jan-21,08-Jan-21
90401001,Komatawadi,90401,08-Jan-21,08-Jan-21
90401002,Kurmaguda,90401,08-Jan-21,08-Jan-21
90401003,Madannapet,90401,08-Jan-21,08-Jan-21
90401004,Santhosh Nagar,90401,08-Jan-21,08-Jan-21
90401005,Maruthi Nagar,90401,08-Jan-21,08-Jan-21
90401006,Durga Bhavani Nagar,90401,08-Jan-21,08-Jan-21
90401007,Champapet,90401,08-Jan-21,08-Jan-21
90401008,Sai Ram Nagar,90401,08-Jan-21,08-Jan-21
90401009,Chandraiah Nagar,90401,08-Jan-21,08-Jan-21
90402010,Savarkar,90402,08-Jan-21,08-Jan-21
90402011,Saidabad Colony,90402,08-Jan-21,08-Jan-21
90402012,Purnodaya,90402,08-Jan-21,08-Jan-21
90402013,Laxminagar,90402,08-Jan-21,08-Jan-21
90402014,Vinay Nagar,90402,08-Jan-21,08-Jan-21
90402015,Indraprasta,90402,08-Jan-21,08-Jan-21
90402016,Saraswati Nagar,90402,08-Jan-21,08-Jan-21
90402017,Adarsh Basti,90402,08-Jan-21,08-Jan-21
90402018,Balaji Nagar,90402,08-Jan-21,08-Jan-21
90402019,Valmiki Basti,90402,08-Jan-21,08-Jan-21
90402020,SriRam Basti,90402,08-Jan-21,08-Jan-21
90403021,Kharavela,90403,08-Jan-21,08-Jan-21
90403022,Prashant Nagar,90403,08-Jan-21,08-Jan-21
90403023,Vivekananda Basti,90403,08-Jan-21,08-Jan-21
90403024,Sri Krishna,90403,08-Jan-21,08-Jan-21
90403025,Madhav Nagar,90403,08-Jan-21,08-Jan-21
90403026,Tirumala Hills,90403,08-Jan-21,08-Jan-21
90403027,Shivaji,90403,08-Jan-21,08-Jan-21
90404028,Prashant Nagar,90404,08-Jan-21,08-Jan-21
90404029,ShalivahanNagar,90404,08-Jan-21,08-Jan-21
90404030,Vidyuthnagar,90404,08-Jan-21,08-Jan-21
90404031,Hanuman Nagar,90404,08-Jan-21,08-Jan-21
90404032,Chaitanyapuri,90404,08-Jan-21,08-Jan-21
90404033,Prabhat Nagar,90404,08-Jan-21,08-Jan-21
90404034,Phaninagar,90404,08-Jan-21,08-Jan-21
90404035,Satyanagar,90404,08-Jan-21,08-Jan-21
90404036,Kothapet,90404,08-Jan-21,08-Jan-21
90404037,New Maruthi Nagar,90404,08-Jan-21,08-Jan-21
90405038,Vijaypuri colony,90405,08-Jan-21,08-Jan-21
90405039,R.K. Puram,90405,08-Jan-21,08-Jan-21
90405040,Mohan Nagar,90405,08-Jan-21,08-Jan-21
90405041,New Nagole,90405,08-Jan-21,08-Jan-21
90405042,Vasavi Nagar,90405,08-Jan-21,08-Jan-21
90405043,Alkapuri,90405,08-Jan-21,08-Jan-21
90405044,NTR Nagar Phase1,90405,08-Jan-21,08-Jan-21
90405045,NTR Nagar Phase2,90405,08-Jan-21,08-Jan-21
90405046,Bharat Nagar,90405,08-Jan-21,08-Jan-21
90406047,Bandlaguda,90406,08-Jan-21,08-Jan-21
90406048,Anand Nagar,90406,08-Jan-21,08-Jan-21
90406049,Mathugudem,90406,08-Jan-21,08-Jan-21
90406050,Ayyappa Basti,90406,08-Jan-21,08-Jan-21
90406051,Jaipuri Colony,90406,08-Jan-21,08-Jan-21
90406052,Nagole,90406,08-Jan-21,08-Jan-21
90406053,Mamatha Nagar,90406,08-Jan-21,08-Jan-21
90406054,Sai Nagar,90406,08-Jan-21,08-Jan-21
90406055,Adarsh Nagar,90406,08-Jan-21,08-Jan-21
90407056,Chandrapuri,90407,08-Jan-21,08-Jan-21
90407057,Saraswathi Nagar,90407,08-Jan-21,08-Jan-21
90407058,Mansoorabad,90407,08-Jan-21,08-Jan-21
90407059,Shubhodaya colony,90407,08-Jan-21,08-Jan-21
90407060,Madhura Nagar,90407,08-Jan-21,08-Jan-21
90407061,Sai Saptagiri,90407,08-Jan-21,08-Jan-21
90407062,Sahara,90407,08-Jan-21,08-Jan-21
90407063,Rock Town Colony,90407,08-Jan-21,08-Jan-21
90407064,Anitha Nagar,90407,08-Jan-21,08-Jan-21
90408065,Shanti Nagar,90408,08-Jan-21,08-Jan-21
90408066,High Court Colony,90408,08-Jan-21,08-Jan-21
90408067,Dwarakamai Nagar,90408,08-Jan-21,08-Jan-21
90408068,Kamal Nagar,90408,08-Jan-21,08-Jan-21
90408069,Saheb Nagar,90408,08-Jan-21,08-Jan-21
90408070,Hill Colony,90408,08-Jan-21,08-Jan-21
90408071,Complex,90408,08-Jan-21,08-Jan-21
90408072,Sachivalayanagar,90408,08-Jan-21,08-Jan-21
90408073,NGO Sector 3,90408,08-Jan-21,08-Jan-21
90408074,Vijayapuri Colony,90408,08-Jan-21,08-Jan-21
90408075,SFC Colony,90408,08-Jan-21,08-Jan-21
90408076,NGO Colony,90408,08-Jan-21,08-Jan-21
90408077,Srinivaspuram,90408,08-Jan-21,08-Jan-21
90408078,Prashant Nagar,90408,08-Jan-21,08-Jan-21
90409079,RTC Colony,90409,08-Jan-21,08-Jan-21
90409080,Shakti Nagar,90409,08-Jan-21,08-Jan-21
90409081,Venkatramana Colony,90409,08-Jan-21,08-Jan-21
90409082,Saraswathi Nagar,90409,08-Jan-21,08-Jan-21
90409083,Hastinapuram,90409,08-Jan-21,08-Jan-21
90409084,Dwaraka Nagar,90409,08-Jan-21,08-Jan-21
90409085,Teachers colony,90409,08-Jan-21,08-Jan-21
90409086,Sagar Complex,90409,08-Jan-21,08-Jan-21
90409087,B.N. Reddy Nagar,90409,08-Jan-21,08-Jan-21
90409088,Vaidehi Nagar/SKD Nagar,90409,08-Jan-21,08-Jan-21
90410089,Dhatu Nagar,90410,08-Jan-21,08-Jan-21
90410090,Jillalguda,90410,08-Jan-21,08-Jan-21
90410091,Gayatri Nagar,90410,08-Jan-21,08-Jan-21
90410092,Meerpet,90410,08-Jan-21,08-Jan-21
90410093,R.N. Reddy Nagar,90410,08-Jan-21,08-Jan-21
90410094,Prashanti Hills,90410,08-Jan-21,08-Jan-21
90410095,Janapriya Mahanagar,90410,08-Jan-21,08-Jan-21
90410096,SLNS Colony,90410,08-Jan-21,08-Jan-21
90410097,Bhagya Kala Nagar,90410,08-Jan-21,08-Jan-21
90411098,Badangpet,90411,08-Jan-21,08-Jan-21
90411099,Annapurna Nagar,90411,08-Jan-21,08-Jan-21
90411100,Almasguda,90411,08-Jan-21,08-Jan-21
90411101,Balapur,90411,08-Jan-21,08-Jan-21
90411102,Sai Nagar,90411,08-Jan-21,08-Jan-21
90411103,Mallapur,90411,08-Jan-21,08-Jan-21
90411104,Kurmalaguda,90411,08-Jan-21,08-Jan-21
90411105,Nadargul,90411,08-Jan-21,08-Jan-21
90411106,Gurramguda,90411,08-Jan-21,08-Jan-21
90412107,Srinivas Colony,90412,08-Jan-21,08-Jan-21
90412108,Brindavan Colony,90412,08-Jan-21,08-Jan-21
90412109,Lingojiguda,90412,08-Jan-21,08-Jan-21
90412110,Karmanghat,90412,08-Jan-21,08-Jan-21
90412111,Kakatiya Nagar,90412,08-Jan-21,08-Jan-21
90412112,LB Nagar,90412,08-Jan-21,08-Jan-21
90412113,Sowbhagya Nagar,90412,08-Jan-21,08-Jan-21
90412114,Venkateshwara Colony,90412,08-Jan-21,08-Jan-21
90413115,Gadianaram,90413,08-Jan-21,08-Jan-21
90413116,P&T colony,90413,08-Jan-21,08-Jan-21
90413117,Sharada Nagar,90413,08-Jan-21,08-Jan-21
90413118,Viveknanda Nagar,90413,08-Jan-21,08-Jan-21
90413119,Doctor's Colony,90413,08-Jan-21,08-Jan-21
90413120,Ambedkar Nagar,90413,08-Jan-21,08-Jan-21
90413121,Bhagath Singh Nagar,90413,08-Jan-21,08-Jan-21
90301001,Maheshwaram,90301,08-Jan-21,08-Jan-21
90301002,Kothwal Cheru Thanda,90301,08-Jan-21,08-Jan-21
90301003,Sirigiripuram ,90301,08-Jan-21,08-Jan-21
90301004,Thukkuguda,90301,08-Jan-21,08-Jan-21
90301005,Raviryala,90301,08-Jan-21,08-Jan-21
90301006,lemoor,90301,08-Jan-21,08-Jan-21
90302007,ameerpet,90302,08-Jan-21,08-Jan-21
90302008,nagireddy pally,90302,08-Jan-21,08-Jan-21
90302009,nagaram,90302,08-Jan-21,08-Jan-21
90302010,dabil guda,90302,08-Jan-21,08-Jan-21
90302011,gattu palli,90302,08-Jan-21,08-Jan-21
90302012,dubbacherla,90302,08-Jan-21,08-Jan-21
90302013,siddapur,90302,08-Jan-21,08-Jan-21
90303014,palmakula,90303,08-Jan-21,08-Jan-21
90303015,ramanja pur,90303,08-Jan-21,08-Jan-21
90303016,narkuda,90303,08-Jan-21,08-Jan-21
90303017,pedda sha pur,90303,08-Jan-21,08-Jan-21
90303018,china golkonda,90303,08-Jan-21,08-Jan-21
90304019,kandukur ,90304,08-Jan-21,08-Jan-21
90304020,mucharla,90304,08-Jan-21,08-Jan-21
90304021,nedhunooru,90304,08-Jan-21,08-Jan-21
90304022,pulli mamidi,90304,08-Jan-21,08-Jan-21
90304023,gudur,90304,08-Jan-21,08-Jan-21
90304024,thimmapur,90304,08-Jan-21,08-Jan-21
90304025,akulamailaram ,90304,08-Jan-21,08-Jan-21
90305026,yacharam,90305,08-Jan-21,08-Jan-21
90305027,gungal,90305,08-Jan-21,08-Jan-21
90305028,nandhivanaparthy,90305,08-Jan-21,08-Jan-21
90305029,kumiddha,90305,08-Jan-21,08-Jan-21
90305030,medi palli,90305,08-Jan-21,08-Jan-21
90305031,mall,90305,08-Jan-21,08-Jan-21
90306032,manchal,90306,08-Jan-21,08-Jan-21
90306033,chitthapuram,90306,08-Jan-21,08-Jan-21
90306034,kaggaj ghat,90306,08-Jan-21,08-Jan-21
90306035,arutla,90306,08-Jan-21,08-Jan-21
90306036,ranga pur,90306,08-Jan-21,08-Jan-21
90306037,loya palli,90306,08-Jan-21,08-Jan-21
90307038,m p patel guda,90307,08-Jan-21,08-Jan-21
90307039,kongara,90307,08-Jan-21,08-Jan-21
90307040,cherla patel guda,90307,08-Jan-21,08-Jan-21
90307041,raipole,90307,08-Jan-21,08-Jan-21
90307042,polkam palli,90307,08-Jan-21,08-Jan-21
90308043,anjana pur,90308,08-Jan-21,08-Jan-21
90308044,kawadi palli,90308,08-Jan-21,08-Jan-21
90308045,tharamathi peta,90308,08-Jan-21,08-Jan-21
90308046,batasingaram,90308,08-Jan-21,08-Jan-21
90308047,thorur,90308,08-Jan-21,08-Jan-21
90308048,yamjal,90308,08-Jan-21,08-Jan-21
90309049,padmavathi colony,90309,08-Jan-21,08-Jan-21
90309050,amangal,90309,08-Jan-21,08-Jan-21
90309051,ranganayak gattu,90309,08-Jan-21,08-Jan-21
90309052,mungunur,90309,08-Jan-21,08-Jan-21
90309053,vinayak nagar,90309,08-Jan-21,08-Jan-21
90309054,rtc colony,90309,08-Jan-21,08-Jan-21
90309055,veerabhadra nagar,90309,08-Jan-21,08-Jan-21
90309056,kuntloor,90309,08-Jan-21,08-Jan-21
90309057,pedda ambhar pet,90309,08-Jan-21,08-Jan-21
90309058,laxmareddy palem,90309,08-Jan-21,08-Jan-21
90310059,shivaji nagar,90310,08-Jan-21,08-Jan-21
90310060,veerasavarkar,90310,08-Jan-21,08-Jan-21
90310061,bagath singh nagar,90310,08-Jan-21,08-Jan-21
90310062,vivekananda nagar,90310,08-Jan-21,08-Jan-21
90310063,rana prathap nagar,90310,08-Jan-21,08-Jan-21
90310064,khanapur,90310,08-Jan-21,08-Jan-21
90310065,sheriguda,90310,08-Jan-21,08-Jan-21
90310066,sitharam pet,90310,08-Jan-21,08-Jan-21
90311067,shivalayam,90311,08-Jan-21,08-Jan-21
90311068,pochamma basthi,90311,08-Jan-21,08-Jan-21
90311069,rb nagar,90311,08-Jan-21,08-Jan-21
90311070,madhura nagar,90311,08-Jan-21,08-Jan-21
90311071,ralla guda,90311,08-Jan-21,08-Jan-21
90311072,airport colony,90311,08-Jan-21,08-Jan-21
90311073,satham rai,90311,08-Jan-21,08-Jan-21
90311074,tondu palli,90311,08-Jan-21,08-Jan-21
90311075,uat palli,90311,08-Jan-21,08-Jan-21
90311076,golla palli,90311,08-Jan-21,08-Jan-21
90201001,SRI RAM NAGAR,90201,08-Jan-21,08-Jan-21
90201002,HANUMAN NAGAR,90201,08-Jan-21,08-Jan-21
90201003,AMBIKA NAGAR,90201,08-Jan-21,08-Jan-21
90201004,PATEL NAGAR,90201,08-Jan-21,08-Jan-21
90201005,ABHIMANYU BASTHI,90201,08-Jan-21,08-Jan-21
90201006,VALMIKI NAGAR,90201,08-Jan-21,08-Jan-21
90201007,NAGULA CHINTA,90201,08-Jan-21,08-Jan-21
90201008,GOWLIPURA,90201,08-Jan-21,08-Jan-21
90201009,VIVEKANANDA NAGAR,90201,08-Jan-21,08-Jan-21
90202010,Thanaji Nagar,90202,08-Jan-21,08-Jan-21
90202011,Lalithabagh,90202,08-Jan-21,08-Jan-21
90202012,Raghavendra Nagar,90202,08-Jan-21,08-Jan-21
90202013,Krishna Reddy Nagar,90202,08-Jan-21,08-Jan-21
90202014,Shivaji Nagar,90202,08-Jan-21,08-Jan-21
90202015,Saibaba Nagar,90202,08-Jan-21,08-Jan-21
90202016,Rakshapuram Colony,90202,08-Jan-21,08-Jan-21
90202017,Arundati Nagar,90202,08-Jan-21,08-Jan-21
90203018,SHIVAJI NAGAR,90203,08-Jan-21,08-Jan-21
90203019,LAXMI NAGAR,90203,08-Jan-21,08-Jan-21
90203020,ARYABAD 1,90203,08-Jan-21,08-Jan-21
90203021,ARYABAD 2,90203,08-Jan-21,08-Jan-21
90203022,JANGAMMET,90203,08-Jan-21,08-Jan-21
90203023,R N NAGAR,90203,08-Jan-21,08-Jan-21
90203024,SETHU GANGA,90203,08-Jan-21,08-Jan-21
90203025,KESHAVA GIRI,90203,08-Jan-21,08-Jan-21
90203026,CHITRA GUPTA,90203,08-Jan-21,08-Jan-21
90204027,MAILARDEVPALLY,90204,08-Jan-21,08-Jan-21
90204028,BRUNDAVAN COLONY,90204,08-Jan-21,08-Jan-21
90204029,BABULREDDY NAGAR,90204,08-Jan-21,08-Jan-21
90204030,BUDWEL station,90204,08-Jan-21,08-Jan-21
90204031,GAGANPAHAD,90204,08-Jan-21,08-Jan-21
90204032,KATEDAN,90204,08-Jan-21,08-Jan-21
90204033,DURGANAGAR,90204,08-Jan-21,08-Jan-21
90204034,PALLECHERUVU,90204,08-Jan-21,08-Jan-21
90205035,LAXMI GUDA,90205,08-Jan-21,08-Jan-21
90205036,VAMBAY COLONY,90205,08-Jan-21,08-Jan-21
90205037,PADMASHALIPURAM,90205,08-Jan-21,08-Jan-21
90205038,TULJA BHAVANI,90205,08-Jan-21,08-Jan-21
90205039,SRI RAMA,90205,08-Jan-21,08-Jan-21
90205040,MAMIDIPALLI,90205,08-Jan-21,08-Jan-21
90206041,RAJENDRA NAGAR,90206,08-Jan-21,08-Jan-21
90206042,PREMAVATHI PET,90206,08-Jan-21,08-Jan-21
90206043,SHIVARAMPALLI,90206,08-Jan-21,08-Jan-21
90206044,ADARSH NAGAR,90206,08-Jan-21,08-Jan-21
90206045,PRASHANTH NAGAR,90206,08-Jan-21,08-Jan-21
90206046,BUDVEL,90206,08-Jan-21,08-Jan-21
90206047,HANUMAN NAGAR,90206,08-Jan-21,08-Jan-21
90207048,PATHERGATTI NAGAR,90207,08-Jan-21,08-Jan-21
90207049,GHANSI BAZAR,90207,08-Jan-21,08-Jan-21
90207050,CHELAPURA,90207,08-Jan-21,08-Jan-21
90207051,CHAR MAHAL,90207,08-Jan-21,08-Jan-21
90207052,DOOD BOWLI,90207,08-Jan-21,08-Jan-21
90207053,KABOOTHAR KHANA,90207,08-Jan-21,08-Jan-21
90207054,PURAN POOL,90207,08-Jan-21,08-Jan-21
90101001,JUBILEE HILLS,90101,08-Jan-21,08-Jan-21
90101002,VENKATAGIRI,90101,08-Jan-21,08-Jan-21
90101003,YOUSUFGUDA,90101,08-Jan-21,08-Jan-21
90101004,YELLAREDDYGUDA,90101,08-Jan-21,08-Jan-21
90101005,PANJAGUTTA,90101,08-Jan-21,08-Jan-21
90101006,SRINAGAR COLONY,90101,08-Jan-21,08-Jan-21
90101007,KRISHNA NAGAR,90101,08-Jan-21,08-Jan-21
90101008,FILM NAGAR,90101,08-Jan-21,08-Jan-21
90102009,LAXMI NAGAR(KHAIRTHABAD),90102,08-Jan-21,08-Jan-21
90102010,SARASWATHI NAGAR,90102,08-Jan-21,08-Jan-21
90102011,MARUTHI NAGAR,90102,08-Jan-21,08-Jan-21
90102012,ANAND NAGAR,90102,08-Jan-21,08-Jan-21
90102013,PADMAVATHI NAGAR,90102,08-Jan-21,08-Jan-21
