Palle ID,Palle Name,Upabasti / Gramam ID,Created On,Modified On
80401001001,OLD BOWENPALLY,80401001001,08-Jan-21,08-Jan-21
80401001002,RAJA RAJESWARY COLONY,80401001002,08-Jan-21,08-Jan-21
80401001003,MALLIKARJUNA COLONY,80401001003,08-Jan-21,08-Jan-21
80401001004,GANGAPUTRA SANGAM,80401001004,08-Jan-21,08-Jan-21
80401002005,HASMATHPET ,80401002005,08-Jan-21,08-Jan-21
80401002006,VYSHYA BANK COLONY,80401002006,08-Jan-21,08-Jan-21
80401002007,SHIVA ENCLAVE,80401002007,08-Jan-21,08-Jan-21
80401002008,ANJAIAH NAGAR,80401002008,08-Jan-21,08-Jan-21
80401003009,NETAJI NAGAR,80401003009,08-Jan-21,08-Jan-21
80401003010,SANJEEVAIAH COLONY,80401003010,08-Jan-21,08-Jan-21
80401003011,CHINNATHOKATTA VILLEGE,80401003011,08-Jan-21,08-Jan-21
80401003012,SITARAMPUR COLONY,80401003012,08-Jan-21,08-Jan-21
80401004013,SOUJANA COLONY,80401004013,08-Jan-21,08-Jan-21
80401004014,BAPUJI NAGAR,80401004014,08-Jan-21,08-Jan-21
80401004015,BHAVANA COLONY,80401004015,08-Jan-21,08-Jan-21
80401004016,JAYA NAGAR,80401004016,08-Jan-21,08-Jan-21
80401005017,TAWAIPURA,80401005017,08-Jan-21,08-Jan-21
80401005018,TADBAND TEMPLE,80401005018,08-Jan-21,08-Jan-21
80401006019,BHEL ENCLAVE,80401006019,08-Jan-21,08-Jan-21
80401006020,MADUPALA ENCLAVE,80401006020,08-Jan-21,08-Jan-21
80401006021,SAIL COLONY,80401006021,08-Jan-21,08-Jan-21
80401007022,MUDFORT,80401007022,08-Jan-21,08-Jan-21
80401007023,SIKH VILLAGE ,80401007023,08-Jan-21,08-Jan-21
80401008024,VAYUPURI COLONY,80401008024,08-Jan-21,08-Jan-21
80401008025,AWHO COLONY,80401008025,08-Jan-21,08-Jan-21
80401008026,JUPITER COLONY,80401008026,08-Jan-21,08-Jan-21
80402009027,INDIRA NAGAR,80402009027,08-Jan-21,08-Jan-21
80402009028,DAIRY FORM,80402009028,08-Jan-21,08-Jan-21
80402009029,SWARNADHAM NAGAR,80402009029,08-Jan-21,08-Jan-21
80402009030,SATYA SAI NAGAR,80402009030,08-Jan-21,08-Jan-21
80402009031,KRISHNAMMA ENCLAVE,80402009031,08-Jan-21,08-Jan-21
80402010032,GREEN FIELDS,80402010032,08-Jan-21,08-Jan-21
80402010033,YADAMMA NAGAR,80402010033,08-Jan-21,08-Jan-21
80402010034,AMBEDKAR NAGAR,80402010034,08-Jan-21,08-Jan-21
80402010035,KRISHNAMMA ENCLAVE,80402010035,08-Jan-21,08-Jan-21
80402011036,KAANAAJIGUDA,80402011036,08-Jan-21,08-Jan-21
80402011037,SHIVA NAGAR,80402011037,08-Jan-21,08-Jan-21
80402011038,TELECOM COLONY,80402011038,08-Jan-21,08-Jan-21
80402012039,SUBHASH NAGAR,80402012039,08-Jan-21,08-Jan-21
80402012040,BHUDEVI NAGAR,80402012040,08-Jan-21,08-Jan-21
80402013041,GUNROCK,80402013041,08-Jan-21,08-Jan-21
80402013042,TEACHERS COLONY,80402013042,08-Jan-21,08-Jan-21
80402013043,MANASA SAROVAR APMT.,80402013043,08-Jan-21,08-Jan-21
80402013044,VEDHA VIHAR,80402013044,08-Jan-21,08-Jan-21
80402013045,SAIBABA NAGAR,80402013045,08-Jan-21,08-Jan-21
80403014046,DURGA ESTATES,80403014046,08-Jan-21,08-Jan-21
80403014047,SUCHITRA,80403014047,08-Jan-21,08-Jan-21
80403014048,BANK COLONY,80403014048,08-Jan-21,08-Jan-21
80403014049,VENNELA GADDA,80403014049,08-Jan-21,08-Jan-21
80403015050,JEEDIMETLA,80403015050,08-Jan-21,08-Jan-21
80403015051,HANUMAN BASTI,80403015051,08-Jan-21,08-Jan-21
80403015052,PRAGA TOOLS,80403015052,08-Jan-21,08-Jan-21
80403016053,ANGADIPET,80403016053,08-Jan-21,08-Jan-21
80403016054,MEENAKSHI ESTATES,80403016054,08-Jan-21,08-Jan-21
80403016055,NORTH NCL COLONY,80403016055,08-Jan-21,08-Jan-21
80403017056,NCL,80403017056,08-Jan-21,08-Jan-21
80403017057,CINE PLANET,80403017057,08-Jan-21,08-Jan-21
80403017058,SAI CHAITANYA,80403017058,08-Jan-21,08-Jan-21
80403018059,PRAJAY ,80403018059,08-Jan-21,08-Jan-21
80403018060,BANK COLONY,80403018060,08-Jan-21,08-Jan-21
80403018061,UMA MAHESHWARY COLONY,80403018061,08-Jan-21,08-Jan-21
80403019062,POCHAMMA  GADDA,80403019062,08-Jan-21,08-Jan-21
80403019063,GHANDI NAGAR,80403019063,08-Jan-21,08-Jan-21
80403019064,ASHWINI COLONY,80403019064,08-Jan-21,08-Jan-21
80403019065,DEVENDRA COLONY,80403019065,08-Jan-21,08-Jan-21
