Basti ID,Basti  Name,Nagar ID,Created On,Modified On
80101001,Shanthi Nagar,80101,08-Jan-21,08-Jan-21
80101002,Vijayapuri colony,80101,08-Jan-21,08-Jan-21
80101003,Laxma Reddy Colony,80101,08-Jan-21,08-Jan-21
80101004,Surya Nagar,80101,08-Jan-21,08-Jan-21
80101005,Bharath Nagar,80101,08-Jan-21,08-Jan-21
80101006,Kumari Basti,80101,08-Jan-21,08-Jan-21
80101007,Gandhi Nagar,80101,08-Jan-21,08-Jan-21
80101008,South Swaroop Nagar,80101,08-Jan-21,08-Jan-21
80101009,Ganesh Nagar ,80101,08-Jan-21,08-Jan-21
80101010,Srinivasa colony,80101,08-Jan-21,08-Jan-21
80101011,Swaroop Nagar,80101,08-Jan-21,08-Jan-21
80102012,Prasanth Nagar,80102,08-Jan-21,08-Jan-21
80102013,Beerappagada,80102,08-Jan-21,08-Jan-21
80102014,Sitharama colony,80102,08-Jan-21,08-Jan-21
80102015,Kalyanpuri ,80102,08-Jan-21,08-Jan-21
80102016,Markandeya Bhasti,80102,08-Jan-21,08-Jan-21
80102017,Mallanna Bhasti,80102,08-Jan-21,08-Jan-21
80102018,Adharsh Nagar,80102,08-Jan-21,08-Jan-21
80102019,New Ramnagar,80102,08-Jan-21,08-Jan-21
80102020,Shivalayam ,80102,08-Jan-21,08-Jan-21
80102021,Padmavathi Nagar,80102,08-Jan-21,08-Jan-21
80102022,Hema nagar,80102,08-Jan-21,08-Jan-21
80103023,Naacharam,80103,08-Jan-21,08-Jan-21
80103024,BABA Nagar(Veera savarkar Nagar),80103,08-Jan-21,08-Jan-21
80103025,Shanti Gardens,80103,08-Jan-21,08-Jan-21
80103026,Raghvendra Nagar,80103,08-Jan-21,08-Jan-21
80103027,Karthikeya Nagar,80103,08-Jan-21,08-Jan-21
80103028,Snehapuri Nagar Colony,80103,08-Jan-21,08-Jan-21
80103029,HMT Nagar,80103,08-Jan-21,08-Jan-21
80104030,Mallapur,80104,08-Jan-21,08-Jan-21
80104031,Bhavani Nagar ,80104,08-Jan-21,08-Jan-21
80104032,K L Reddy Nagar,80104,08-Jan-21,08-Jan-21
80104033,Surya Nagar Colony,80104,08-Jan-21,08-Jan-21
80104034,Gokul Nagar,80104,08-Jan-21,08-Jan-21
80104035,Narasihma Nagar,80104,08-Jan-21,08-Jan-21
80105036,Boduppal,80105,08-Jan-21,08-Jan-21
80105037,Maruthi Nagar,80105,08-Jan-21,08-Jan-21
