Palle ID,Palle Naem,Upabasti ID,created on,modified on
80101001001,Shanthi Nagar,80101001001,08-Jan-21,08-Jan-21
80101001002,New Shanthi Nagar,80101001002,08-Jan-21,08-Jan-21
80101001003,Padmavathi Colony,80101001003,08-Jan-21,08-Jan-21
80101001004,Satya Nagar,80101001004,08-Jan-21,08-Jan-21
80101002005,Vijayapuri colony,80101002005,08-Jan-21,08-Jan-21
80101002006,New Vijayapuri colony,80101002006,08-Jan-21,08-Jan-21
80101002007,Saibaba colony,80101002007,08-Jan-21,08-Jan-21
80101003008,Laxma Reddy Colony,80101003008,08-Jan-21,08-Jan-21
80101003009,Hanuma sainagar ,80101003009,08-Jan-21,08-Jan-21
80101003010,Survey Colony,80101003010,08-Jan-21,08-Jan-21
80101004011,Surya Nagar,80101004011,08-Jan-21,08-Jan-21
80101004012,Rajnagar,80101004012,08-Jan-21,08-Jan-21
80101005013,Bharath Nagar,80101005013,08-Jan-21,08-Jan-21
80101005014,Vinayak Nagar,80101005014,08-Jan-21,08-Jan-21
80101006015,Kumari Basti,80101006015,08-Jan-21,08-Jan-21
80101006016,Sri Rama colony,80101006016,08-Jan-21,08-Jan-21
80101006017,kamari Basti,80101006017,08-Jan-21,08-Jan-21
80101006018,Chakali Bast,80101006018,08-Jan-21,08-Jan-21
80101007019,Gandhi Nagar,80101007019,08-Jan-21,08-Jan-21
80101007020,swarup Reddy colony,80101007020,08-Jan-21,08-Jan-21
80101007021,Balaji Nagar (South swaroop nagar),80101007021,08-Jan-21,08-Jan-21
80101008022,South Swaroop Nagar,80101008022,08-Jan-21,08-Jan-21
80101008023,sri sri nagar,80101008023,08-Jan-21,08-Jan-21
80101009024,Ganesh Nagar ,80101009024,08-Jan-21,08-Jan-21
80101009025,New Bharath Nagar,80101009025,08-Jan-21,08-Jan-21
80101009026,Hanuman Nagar,80101009026,08-Jan-21,08-Jan-21
80101009027,Kaveri Nagar,80101009027,08-Jan-21,08-Jan-21
80101009028,Amrutha Colony,80101009028,08-Jan-21,08-Jan-21
80101010029,Srinivasa colony,80101010029,08-Jan-21,08-Jan-21
80101010030,Budagajangala colony,80101010030,08-Jan-21,08-Jan-21
80101010031,Dwaraka Nagar,80101010031,08-Jan-21,08-Jan-21
80101011032,Swaroop Nagar,80101011032,08-Jan-21,08-Jan-21
80101011033,Balaji Hills,80101011033,08-Jan-21,08-Jan-21
80102012034,Prasanth Nagar,80102012034,08-Jan-21,08-Jan-21
80102012035,Dharmapuri colony,80102012035,08-Jan-21,08-Jan-21
80102012036,Bank colony,80102012036,08-Jan-21,08-Jan-21
80102013037,Beerappagada,80102013037,08-Jan-21,08-Jan-21
80102013038,P & T Colony,80102013038,08-Jan-21,08-Jan-21
80102013039,Srinagar colony,80102013039,08-Jan-21,08-Jan-21
80102014040,Sitharama colony,80102014040,08-Jan-21,08-Jan-21
80102014041,Teachers colony,80102014041,08-Jan-21,08-Jan-21
80102014042,High court colony,80102014042,08-Jan-21,08-Jan-21
80102015043,Kalyanpuri ,80102015043,08-Jan-21,08-Jan-21
80102015044,Sri Raghavendra Nagar,80102015044,08-Jan-21,08-Jan-21
80102015045,East Kalyanpuri ,80102015045,08-Jan-21,08-Jan-21
80102015046,Balaji enclave,80102015046,08-Jan-21,08-Jan-21
80102016047,Markandeya Nagar,80102016047,08-Jan-21,08-Jan-21
80102016048,Chilukeshwara Gutta,80102016048,08-Jan-21,08-Jan-21
80102017049,Mallikarjuna Nagar,80102017049,08-Jan-21,08-Jan-21
80102017050,North Kalyanpuri,80102017050,08-Jan-21,08-Jan-21
80102018051,Adharsh Nagar,80102018051,08-Jan-21,08-Jan-21
80102018052,Ganesh Nagar,80102018052,08-Jan-21,08-Jan-21
80102019053,New Ramnagar,80102019053,08-Jan-21,08-Jan-21
80102019054,Kumari kunta,80102019054,08-Jan-21,08-Jan-21
80102020055,Shivalayam ,80102020055,08-Jan-21,08-Jan-21
80102020056,Bodrai,80102020056,08-Jan-21,08-Jan-21
80102021057,Padmavathi Nagar,80102021057,08-Jan-21,08-Jan-21
80102021058,Balaji Hills,80102021058,08-Jan-21,08-Jan-21
80102021059,Srinivasa Heights,80102021059,08-Jan-21,08-Jan-21
80102022060,Hema nagar,80102022060,08-Jan-21,08-Jan-21
80102022061,Edaiah nagar,80102022061,08-Jan-21,08-Jan-21
80102022062,Rajashekar colony,80102022062,08-Jan-21,08-Jan-21
80103023063,Naacharam,80103023063,08-Jan-21,08-Jan-21
80103023064,Sri Ram Nagar,80103023064,08-Jan-21,08-Jan-21
80103023065,Ambedkar nagar,80103023065,08-Jan-21,08-Jan-21
80103023066,Ram Reddy Nagar,80103023066,08-Jan-21,08-Jan-21
80103023067,Gandhi Nagar,80103023067,08-Jan-21,08-Jan-21
80103024068,Veera Savarkar Nagar,80103024068,08-Jan-21,08-Jan-21
80103024069,Hanuman Nagar,80103024069,08-Jan-21,08-Jan-21
80103024070,Baba Nagar,80103024070,08-Jan-21,08-Jan-21
80103024071,Singam Chervu,80103024071,08-Jan-21,08-Jan-21
80103024072,Durga Nagar,80103024072,08-Jan-21,08-Jan-21
80103025073,Shanti Gardens,80103025073,08-Jan-21,08-Jan-21
80103025074,Block Signature,80103025074,08-Jan-21,08-Jan-21
80103025075,SuryaChandra colony,80103025075,08-Jan-21,08-Jan-21
80103025076,Concrete Plaza,80103025076,08-Jan-21,08-Jan-21
80103026077,Raghvendra Nagar,80103026077,08-Jan-21,08-Jan-21
80103026078,Annapurna Colony,80103026078,08-Jan-21,08-Jan-21
80103026079,Indra nagar,80103026079,08-Jan-21,08-Jan-21
80103026080,Ravindra Nagar,80103026080,08-Jan-21,08-Jan-21
80103026081,Sai Nagar,80103026081,08-Jan-21,08-Jan-21
80103027082,Karthikeya Nagar,80103027082,08-Jan-21,08-Jan-21
80103027083,Rajiv Nagar,80103027083,08-Jan-21,08-Jan-21
80103027084,Erra Kunta,80103027084,08-Jan-21,08-Jan-21
80103027085,Veera Reddy Nagar,80103027085,08-Jan-21,08-Jan-21
80103028086,Snehapuri Nagar Colony,80103028086,08-Jan-21,08-Jan-21
80103028087,Nagarjun Nagar,80103028087,08-Jan-21,08-Jan-21
80103028088, Bhavani Nagar,80103028088,08-Jan-21,08-Jan-21
80103028089,P &T colony,80103028089,08-Jan-21,08-Jan-21
