Basti / Upamandal ID,Basti / Upamandal Name,Nagar ID,Modified on,creaetd on
80501001,Vivek Nagar,80501,19-Jan-21,19-Jan-21
80501002,Balaji Nagar,80501,19-Jan-21,19-Jan-21
80501003,Prashanth Nagar,80501,19-Jan-21,19-Jan-21
80501004,Sangeethanagar,80501,19-Jan-21,19-Jan-21
80501005,AVB Puram,80501,19-Jan-21,19-Jan-21
80501006,Vivekanada Nagar,80501,19-Jan-21,19-Jan-21
80501007,Bhagameer,80501,19-Jan-21,19-Jan-21
80501008,Balakrishna Nagar,80501,19-Jan-21,19-Jan-21
80501009,Venkatrao Nagar,80501,19-Jan-21,19-Jan-21
80501010,Prakash Nagar,80501,19-Jan-21,19-Jan-21
80502011,4th PHASE,80502,19-Jan-21,19-Jan-21
80502012,7th PHASE,80502,19-Jan-21,19-Jan-21
80502013,5th PHASE,80502,19-Jan-21,19-Jan-21
80502014,VASANTHA NAGAR,80502,19-Jan-21,19-Jan-21
80502015,9th PHASE,80502,19-Jan-21,19-Jan-21
80502016,6th PHASE,80502,19-Jan-21,19-Jan-21
80502017,8th PHASE,80502,19-Jan-21,19-Jan-21
80502018,DHARMA REDDY NAGAR,80502,19-Jan-21,19-Jan-21
80502019,PHASE 1&2,80502,19-Jan-21,19-Jan-21
80503020,GUTTALA BEGUMPET,80503,19-Jan-21,19-Jan-21
80503021,AYYAPPA BASTI,80503,19-Jan-21,19-Jan-21
80503022,MADHAPUR,80503,19-Jan-21,19-Jan-21
80503023,CHANDANAGAR THANDA,80503,19-Jan-21,19-Jan-21
80503024,KHANAMET BASTI,80503,19-Jan-21,19-Jan-21
80503025,ANJANEYA NAGAR,80503,19-Jan-21,19-Jan-21
80503026,SIDDIVINAYAKA BASTI,80503,19-Jan-21,19-Jan-21
80503027,SRIRAM NAGAR,80503,19-Jan-21,19-Jan-21
80503028,MASJID BANDA,80503,19-Jan-21,19-Jan-21
80503029,KOTHAGUDA,80503,19-Jan-21,19-Jan-21
80503030,KONDAPUR,80503,19-Jan-21,19-Jan-21
80504031,MADURANAGAR,80504,19-Jan-21,19-Jan-21
80504032,RAHMATH NAGAR,80504,19-Jan-21,19-Jan-21
80504033,KARMIKANAGAR,80504,19-Jan-21,19-Jan-21
80504034,SPR HILS,80504,19-Jan-21,19-Jan-21
80504035,SITE -3,80504,19-Jan-21,19-Jan-21
80504036,BORABANDA,80504,19-Jan-21,19-Jan-21
80504037,MOTHINAGAR,80504,19-Jan-21,19-Jan-21
80504038,VIVEKANADANAGAR,80504,19-Jan-21,19-Jan-21
80504039,AG COLONY,80504,19-Jan-21,19-Jan-21
80504040,ERRAGADDA,80504,19-Jan-21,19-Jan-21
80505041,SANATH NAGAR srt,80505,19-Jan-21,19-Jan-21
80505042,CZECH COLONY,80505,19-Jan-21,19-Jan-21
80505043, SHIVAJINAGAR,80505,19-Jan-21,19-Jan-21
80505044,BALKAMPET,80505,19-Jan-21,19-Jan-21
80505045,"FATENAGAR
PIPLINE ROAD   ",80505,19-Jan-21,19-Jan-21
80505046,"FATENAGAR 
SHISHUMANDIR RAOAD",80505,19-Jan-21,19-Jan-21
80505047,SR NAGAR,80505,19-Jan-21,19-Jan-21
80505048,AMEERPET,80505,19-Jan-21,19-Jan-21
80505049,PRASHANTH NAGAR,80505,19-Jan-21,19-Jan-21
80505050,SHANTHI  NAGAR,80505,19-Jan-21,19-Jan-21
80506051,Bharath Nagar,80506,19-Jan-21,19-Jan-21
80506052,Jinkalwada,80506,19-Jan-21,19-Jan-21
80506053, Moosapet,80506,19-Jan-21,19-Jan-21
80506054,Pragathi nagar ,80506,19-Jan-21,19-Jan-21
80506055,Janta nagar ,80506,19-Jan-21,19-Jan-21
80506056,Anjaneya nagar,80506,19-Jan-21,19-Jan-21
80506057,Rainbow Vistas,80506,19-Jan-21,19-Jan-21
80507058,Jagadgirigutta  bustop,80507,19-Jan-21,19-Jan-21
80507059,Allwyn colony phase-2,80507,19-Jan-21,19-Jan-21
80507060,Shiva nagar,80507,19-Jan-21,19-Jan-21
80507061,Allwyn colony phase-1,80507,19-Jan-21,19-Jan-21
80507062,Venkateshwaranagar,80507,19-Jan-21,19-Jan-21
80507063,Srinivas Nagar Ring Basti,80507,19-Jan-21,19-Jan-21
80507064,Maqdoom Nagar,80507,19-Jan-21,19-Jan-21
