NAGARAM / KHANDA ID,NAGARAM / KHANDA Name,Zilla ID,updated on,Created on
80401,Bowenpally Nagar,804,19-Jan-21,19-Jan-21
80402,Geen Fields Nagar,804,19-Jan-21,19-Jan-21
80403,JEEDIMETLA Nagar,804,19-Jan-21,19-Jan-21
80404,MEDCHAL,804,19-Jan-21,19-Jan-21
80405,DUNDIGAL,804,19-Jan-21,19-Jan-21
80406,Suraram Nagar,804,19-Jan-21,19-Jan-21
80407,Shapur Nagar,804,19-Jan-21,19-Jan-21
80408,Bala Nagar,804,19-Jan-21,19-Jan-21
80501,Kukatpally,805,19-Jan-21,19-Jan-21
80502,KPHB,805,19-Jan-21,19-Jan-21
80503,Madhapur ,805,19-Jan-21,19-Jan-21
80504,Madhura Nagar,805,19-Jan-21,19-Jan-21
80505,Sanath Nagar,805,19-Jan-21,19-Jan-21
80506,Bharath Nagar,805,19-Jan-21,19-Jan-21
80507,Jagadgirigutta ,805,19-Jan-21,19-Jan-21
80508,Pragathi Nagar,805,19-Jan-21,19-Jan-21
80509,Janapriya Nagar,805,19-Jan-21,19-Jan-21
80510,Lingampally ,805,19-Jan-21,19-Jan-21
