Upabasti / Gramam ID,Upabasti / Gramam Name,Basti ID,modified on,created on
80401001001,OLD BOWENPALLY,80401001,19-Jan-21,19-Jan-21
80401001002,RAJA RAJESWARY COLONY,80401001,19-Jan-21,19-Jan-21
80401001003,MALLIKARJUNA COLONY,80401001,19-Jan-21,19-Jan-21
80401001004,GANGAPUTRA SANGAM,80401001,19-Jan-21,19-Jan-21
80401002005,HASMATHPET ,80401002,19-Jan-21,19-Jan-21
80401002006,VYSHYA BANK COLONY,80401002,19-Jan-21,19-Jan-21
80401002007,SHIVA ENCLAVE,80401002,19-Jan-21,19-Jan-21
80401002008,ANJAIAH NAGAR,80401002,19-Jan-21,19-Jan-21
80401003009,NETAJI NAGAR,80401003,19-Jan-21,19-Jan-21
80401003010,SANJEEVAIAH COLONY,80401003,19-Jan-21,19-Jan-21
80401003011,CHINNATHOKATTA VILLEGE,80401003,19-Jan-21,19-Jan-21
80401003012,SITARAMPUR COLONY,80401003,19-Jan-21,19-Jan-21
80401004013,SOUJANA COLONY,80401004,19-Jan-21,19-Jan-21
80401004014,BAPUJI NAGAR,80401004,19-Jan-21,19-Jan-21
80401004015,BHAVANA COLONY,80401004,19-Jan-21,19-Jan-21
80401004016,JAYA NAGAR,80401004,19-Jan-21,19-Jan-21
80401005017,TAWAIPURA,80401005,19-Jan-21,19-Jan-21
80401005018,TADBAND TEMPLE,80401005,19-Jan-21,19-Jan-21
80401006019,BHEL ENCLAVE,80401006,19-Jan-21,19-Jan-21
80401006020,MADUPALA ENCLAVE,80401006,19-Jan-21,19-Jan-21
80401006021,SAIL COLONY,80401006,19-Jan-21,19-Jan-21
80401007022,MUDFORT,80401007,19-Jan-21,19-Jan-21
80401007023,SIKH VILLAGE ,80401007,19-Jan-21,19-Jan-21
80401008024,VAYUPURI COLONY,80401008,19-Jan-21,19-Jan-21
80401008025,AWHO COLONY,80401008,19-Jan-21,19-Jan-21
80401008026,JUPITER COLONY,80401008,19-Jan-21,19-Jan-21
80402009027,INDIRA NAGAR,80402009,19-Jan-21,19-Jan-21
80402009028,DAIRY FORM,80402009,19-Jan-21,19-Jan-21
80402009029,SWARNADHAM NAGAR,80402009,19-Jan-21,19-Jan-21
80402009030,SATYA SAI NAGAR,80402009,19-Jan-21,19-Jan-21
80402009031,KRISHNAMMA ENCLAVE,80402009,19-Jan-21,19-Jan-21
80402010032,GREEN FIELDS,80402010,19-Jan-21,19-Jan-21
80402010033,YADAMMA NAGAR,80402010,19-Jan-21,19-Jan-21
80402010034,AMBEDKAR NAGAR,80402010,19-Jan-21,19-Jan-21
80402010035,KRISHNAMMA ENCLAVE,80402010,19-Jan-21,19-Jan-21
80402011036,KAANAAJIGUDA,80402011,19-Jan-21,19-Jan-21
80402011037,SHIVA NAGAR,80402011,19-Jan-21,19-Jan-21
80402011038,TELECOM COLONY,80402011,19-Jan-21,19-Jan-21
80402012039,SUBHASH NAGAR,80402012,19-Jan-21,19-Jan-21
80402012040,BHUDEVI NAGAR,80402012,19-Jan-21,19-Jan-21
80402013041,GUNROCK,80402013,19-Jan-21,19-Jan-21
80402013042,TEACHERS COLONY,80402013,19-Jan-21,19-Jan-21
80402013043,MANASA SAROVAR APMT.,80402013,19-Jan-21,19-Jan-21
80402013044,VEDHA VIHAR,80402013,19-Jan-21,19-Jan-21
80402013045,SAIBABA NAGAR,80402013,19-Jan-21,19-Jan-21
80403014046,DURGA ESTATES,80403014,19-Jan-21,19-Jan-21
80403014047,SUCHITRA,80403014,19-Jan-21,19-Jan-21
80403014048,BANK COLONY,80403014,19-Jan-21,19-Jan-21
80403014049,VENNELA GADDA,80403014,19-Jan-21,19-Jan-21
80403015050,JEEDIMETLA,80403015,19-Jan-21,19-Jan-21
80403015051,HANUMAN BASTI,80403015,19-Jan-21,19-Jan-21
80403015052,PRAGA TOOLS,80403015,19-Jan-21,19-Jan-21
80403016053,ANGADIPET,80403016,19-Jan-21,19-Jan-21
80403016054,MEENAKSHI ESTATES,80403016,19-Jan-21,19-Jan-21
80403016055,NORTH NCL COLONY,80403016,19-Jan-21,19-Jan-21
80403017056,NCL,80403017,19-Jan-21,19-Jan-21
80403017057,CINE PLANET,80403017,19-Jan-21,19-Jan-21
80403017058,SAI CHAITANYA,80403017,19-Jan-21,19-Jan-21
80403018059,PRAJAY ,80403018,19-Jan-21,19-Jan-21
80403018060,BANK COLONY,80403018,19-Jan-21,19-Jan-21
80403018061,UMA MAHESHWARY COLONY,80403018,19-Jan-21,19-Jan-21
80403019062,POCHAMMA  GADDA,80403019,19-Jan-21,19-Jan-21
80403019063,GHANDI NAGAR,80403019,19-Jan-21,19-Jan-21
80403019064,ASHWINI COLONY,80403019,19-Jan-21,19-Jan-21
80403019065,DEVENDRA COLONY,80403019,19-Jan-21,19-Jan-21
80403019066,SRINIVAS COLONY,80403019,19-Jan-21,19-Jan-21
80404020067,MEDCHAL,80404020,19-Jan-21,19-Jan-21
80404020068,KISTAPUR,80404020,19-Jan-21,19-Jan-21
80404020069,ATHVELLY,80404020,19-Jan-21,19-Jan-21
80404020070,GIRMAPOOR,80404020,19-Jan-21,19-Jan-21
80404021071,DABILPOOR,80404021,19-Jan-21,19-Jan-21
80404021072,BARMAJIGUDA,80404021,19-Jan-21,19-Jan-21
