Basti ID,Basti  Name,Nagar ID,created on,updated on
8010101,Shanthi Nagar,80101,07-Jan-21,07-Jan-21
8010102,Vijayapuri colony,80101,07-Jan-21,07-Jan-21
8010103,Laxma Reddy Colony,80101,07-Jan-21,07-Jan-21
8010104,Surya Nagar,80101,07-Jan-21,07-Jan-21
8010105,Bharath Nagar,80101,07-Jan-21,07-Jan-21
8010106,Kumari Basti,80101,07-Jan-21,07-Jan-21
8010107,Gandhi Nagar,80101,07-Jan-21,07-Jan-21
8010108,South Swaroop Nagar,80101,07-Jan-21,07-Jan-21
8010109,Ganesh Nagar ,80101,07-Jan-21,07-Jan-21
8010110,Srinivasa colony,80101,07-Jan-21,07-Jan-21
8010111,Swaroop Nagar,80101,07-Jan-21,07-Jan-21
8010212,Prasanth Nagar,80102,07-Jan-21,07-Jan-21
8010213,Beerappagada,80102,07-Jan-21,07-Jan-21
8010214,Sitharama colony,80102,07-Jan-21,07-Jan-21
8010215,Kalyanpuri ,80102,07-Jan-21,07-Jan-21
8010216,Markandeya Bhasti,80102,07-Jan-21,07-Jan-21
8010217,Mallanna Bhasti,80102,07-Jan-21,07-Jan-21
8010218,Adharsh Nagar,80102,07-Jan-21,07-Jan-21
8010219,New Ramnagar,80102,07-Jan-21,07-Jan-21
8010220,Shivalayam ,80102,07-Jan-21,07-Jan-21
8010221,Padmavathi Nagar,80102,07-Jan-21,07-Jan-21
8010222,Hema nagar,80102,07-Jan-21,07-Jan-21
8010323,Naacharam,80103,07-Jan-21,07-Jan-21
8010324,BABA Nagar(Veera savarkar Nagar),80103,07-Jan-21,07-Jan-21
8010325,Shanti Gardens,80103,07-Jan-21,07-Jan-21
8010326,Raghvendra Nagar,80103,07-Jan-21,07-Jan-21
8010327,Karthikeya Nagar,80103,07-Jan-21,07-Jan-21
8010328,Snehapuri Nagar Colony,80103,07-Jan-21,07-Jan-21
8010329,HMT Nagar,80103,07-Jan-21,07-Jan-21
8010430,Mallapur,80104,07-Jan-21,07-Jan-21
8010431,Bhavani Nagar ,80104,07-Jan-21,07-Jan-21
8010432,K L Reddy Nagar,80104,07-Jan-21,07-Jan-21
8010433,Surya Nagar Colony,80104,07-Jan-21,07-Jan-21
8010434,Gokul Nagar,80104,07-Jan-21,07-Jan-21
8010435,Narasihma Nagar,80104,07-Jan-21,07-Jan-21
8010536,Boduppal,80105,07-Jan-21,07-Jan-21
8010537,Maruthi Nagar,80105,07-Jan-21,07-Jan-21
8010538,Ashok Nagar,80105,07-Jan-21,07-Jan-21
8010539,Laxmi Nagar,80105,07-Jan-21,07-Jan-21
8010540,Brundavan Colony,80105,07-Jan-21,07-Jan-21
8010541,Veerareddy Nagar,80105,07-Jan-21,07-Jan-21
8010542,Ambedkar Nagar,80105,07-Jan-21,07-Jan-21
8010543,Annapurna Colony,80105,07-Jan-21,07-Jan-21
8010544,Venkatreddy Nagar,80105,07-Jan-21,07-Jan-21
8010545,Bolligudem,80105,07-Jan-21,07-Jan-21
8010546,Chengicharla,80105,07-Jan-21,07-Jan-21
8010647,Medipally,80106,07-Jan-21,07-Jan-21
8010648,Medipally,80106,07-Jan-21,07-Jan-21
8010649,Buddha Nagar,80106,07-Jan-21,07-Jan-21
8010650,P&T Colony,80106,07-Jan-21,07-Jan-21
8010651,Canara Nagar,80106,07-Jan-21,07-Jan-21
8010652,Shankar Nagar,80106,07-Jan-21,07-Jan-21
8010653,Peerzadi Guda,80106,07-Jan-21,07-Jan-21
8010654,Parvathapur,80106,07-Jan-21,07-Jan-21
8010655,Gandhi Nagar,80106,07-Jan-21,07-Jan-21
8010656,Panchavati Colony,80106,07-Jan-21,07-Jan-21
8010757,Venkadri Township,80107,07-Jan-21,07-Jan-21
8010758,Choudary Guda,80107,07-Jan-21,07-Jan-21
8010759,Venkatapuram,80107,07-Jan-21,07-Jan-21
8010760,Korremula(makta),80107,07-Jan-21,07-Jan-21
8010761,Rajiv Gruha Kalpa,80107,07-Jan-21,07-Jan-21
8010762,Annojiguda,80107,07-Jan-21,07-Jan-21
8010763,Samskruthi Township.,80107,07-Jan-21,07-Jan-21
8010764,pocharam,80107,07-Jan-21,07-Jan-21
8010765,Narapally ,80107,07-Jan-21,07-Jan-21
