Upabasti ID,Upabasti Name,Basti Id,Created On,Updated On
8010101001,Shanthi Nagar,8010101,07-Jan-21,07-Jan-21
8010101002,New Shanthi Nagar,8010101,07-Jan-21,07-Jan-21
8010101003,Padmavathi Colony,8010101,07-Jan-21,07-Jan-21
8010101004,Satya Nagar,8010101,07-Jan-21,07-Jan-21
8010102005,Vijayapuri colony,8010102,07-Jan-21,07-Jan-21
8010102006,New Vijayapuri colony,8010102,07-Jan-21,07-Jan-21
8010102007,Saibaba colony,8010102,07-Jan-21,07-Jan-21
8010103008,Laxma Reddy Colony,8010103,07-Jan-21,07-Jan-21
8010103009,Hanuma sainagar ,8010103,07-Jan-21,07-Jan-21
8010103010,Survey Colony,8010103,07-Jan-21,07-Jan-21
8010104011,Surya Nagar,8010104,07-Jan-21,07-Jan-21
8010104012,Rajnagar,8010104,07-Jan-21,07-Jan-21
8010105013,Bharath Nagar,8010105,07-Jan-21,07-Jan-21
8010105014,Vinayak Nagar,8010105,07-Jan-21,07-Jan-21
8010106015,Kumari Basti,8010106,07-Jan-21,07-Jan-21
8010106016,Sri Rama colony,8010106,07-Jan-21,07-Jan-21
8010106017,kamari Basti,8010106,07-Jan-21,07-Jan-21
8010106018,Chakali Bast,8010106,07-Jan-21,07-Jan-21
8010107019,Gandhi Nagar,8010107,07-Jan-21,07-Jan-21
8010107020,swarup Reddy colony,8010107,07-Jan-21,07-Jan-21
8010107021,Balaji Nagar (South swaroop nagar),8010107,07-Jan-21,07-Jan-21
8010108022,South Swaroop Nagar,8010108,07-Jan-21,07-Jan-21
8010108023,sri sri nagar,8010108,07-Jan-21,07-Jan-21
8010109024,Ganesh Nagar ,8010109,07-Jan-21,07-Jan-21
8010109025,New Bharath Nagar,8010109,07-Jan-21,07-Jan-21
8010109026,Hanuman Nagar,8010109,07-Jan-21,07-Jan-21
8010109027,Kaveri Nagar,8010109,07-Jan-21,07-Jan-21
8010109028,Amrutha Colony,8010109,07-Jan-21,07-Jan-21
8010110029,Srinivasa colony,8010110,07-Jan-21,07-Jan-21
8010110030,Budagajangala colony,8010110,07-Jan-21,07-Jan-21
8010110031,Dwaraka Nagar,8010110,07-Jan-21,07-Jan-21
8010111032,Swaroop Nagar,8010111,07-Jan-21,07-Jan-21
8010111033,Balaji Hills,8010111,07-Jan-21,07-Jan-21
8010212034,Prasanth Nagar,8010212,07-Jan-21,07-Jan-21
8010212035,Dharmapuri colony,8010212,07-Jan-21,07-Jan-21
8010212036,Bank colony,8010212,07-Jan-21,07-Jan-21
8010213037,Beerappagada,8010213,07-Jan-21,07-Jan-21
8010213038,P & T Colony,8010213,07-Jan-21,07-Jan-21
8010213039,Srinagar colony,8010213,07-Jan-21,07-Jan-21
8010214040,Sitharama colony,8010214,07-Jan-21,07-Jan-21
8010214041,Teachers colony,8010214,07-Jan-21,07-Jan-21
8010214042,High court colony,8010214,07-Jan-21,07-Jan-21
8010215043,Kalyanpuri ,8010215,07-Jan-21,07-Jan-21
8010215044,Sri Raghavendra Nagar,8010215,07-Jan-21,07-Jan-21
8010215045,East Kalyanpuri ,8010215,07-Jan-21,07-Jan-21
8010215046,Balaji enclave,8010215,07-Jan-21,07-Jan-21
8010216047,Markandeya Nagar,8010216,07-Jan-21,07-Jan-21
8010216048,Chilukeshwara Gutta,8010216,07-Jan-21,07-Jan-21
8010217049,Mallikarjuna Nagar,8010217,07-Jan-21,07-Jan-21
8010217050,North Kalyanpuri,8010217,07-Jan-21,07-Jan-21
8010218051,Adharsh Nagar,8010218,07-Jan-21,07-Jan-21
8010218052,Ganesh Nagar,8010218,07-Jan-21,07-Jan-21
8010219053,New Ramnagar,8010219,07-Jan-21,07-Jan-21
8010219054,Kumari kunta,8010219,07-Jan-21,07-Jan-21
8010220055,Shivalayam ,8010220,07-Jan-21,07-Jan-21
8010220056,Bodrai,8010220,07-Jan-21,07-Jan-21
8010221057,Padmavathi Nagar,8010221,07-Jan-21,07-Jan-21
8010221058,Balaji Hills,8010221,07-Jan-21,07-Jan-21
8010221059,Srinivasa Heights,8010221,07-Jan-21,07-Jan-21
8010222060,Hema nagar,8010222,07-Jan-21,07-Jan-21
8010222061,Edaiah nagar,8010222,07-Jan-21,07-Jan-21
8010222062,Rajashekar colony,8010222,07-Jan-21,07-Jan-21
8010323063,Naacharam,8010323,07-Jan-21,07-Jan-21
8010323064,Sri Ram Nagar,8010323,07-Jan-21,07-Jan-21
8010323065,Ambedkar nagar,8010323,07-Jan-21,07-Jan-21
8010323066,Ram Reddy Nagar,8010323,07-Jan-21,07-Jan-21
8010323067,Gandhi Nagar,8010323,07-Jan-21,07-Jan-21
8010324068,Veera Savarkar Nagar,8010324,07-Jan-21,07-Jan-21
8010324069,Hanuman Nagar,8010324,07-Jan-21,07-Jan-21
8010324070,Baba Nagar,8010324,07-Jan-21,07-Jan-21
8010324071,Singam Chervu,8010324,07-Jan-21,07-Jan-21
8010324072,Durga Nagar,8010324,07-Jan-21,07-Jan-21
8010325073,Shanti Gardens,8010325,07-Jan-21,07-Jan-21
8010325074,Block Signature,8010325,07-Jan-21,07-Jan-21
8010325075,SuryaChandra colony,8010325,07-Jan-21,07-Jan-21
8010325076,Concrete Plaza,8010325,07-Jan-21,07-Jan-21
8010326077,Raghvendra Nagar,8010326,07-Jan-21,07-Jan-21
8010326078,Annapurna Colony,8010326,07-Jan-21,07-Jan-21
8010326079,Indra nagar,8010326,07-Jan-21,07-Jan-21
8010326080,Ravindra Nagar,8010326,07-Jan-21,07-Jan-21
8010326081,Sai Nagar,8010326,07-Jan-21,07-Jan-21
8010327082,Karthikeya Nagar,8010327,07-Jan-21,07-Jan-21
8010327083,Rajiv Nagar,8010327,07-Jan-21,07-Jan-21
8010327084,Erra Kunta,8010327,07-Jan-21,07-Jan-21
8010327085,Veera Reddy Nagar,8010327,07-Jan-21,07-Jan-21
8010328086,Snehapuri Nagar Colony,8010328,07-Jan-21,07-Jan-21
8010328087,Nagarjun Nagar,8010328,07-Jan-21,07-Jan-21
8010328088, Bhavani Nagar,8010328,07-Jan-21,07-Jan-21
8010328089,P &T colony,8010328,07-Jan-21,07-Jan-21
8010328090,VST colony,8010328,07-Jan-21,07-Jan-21
8010329091,HMT Nagar,8010329,07-Jan-21,07-Jan-21
8010329092,IICT colony,8010329,07-Jan-21,07-Jan-21
8010329093,Bapuji Nagar,8010329,07-Jan-21,07-Jan-21
8010329094,Sarswathi Nagar colony,8010329,07-Jan-21,07-Jan-21
8010329095,Nagendra Nagar,8010329,07-Jan-21,07-Jan-21
8010430096,Mallapur,8010430,07-Jan-21,07-Jan-21
8010430097,Old Mallapur,8010430,07-Jan-21,07-Jan-21
8010430098,May Flower Heights,8010430,07-Jan-21,07-Jan-21
8010431099,Bhavani Nagar ,8010431,07-Jan-21,07-Jan-21
8010431100,Janapriya Apartments,8010431,07-Jan-21,07-Jan-21
8010431101,SV Nagar,8010431,07-Jan-21,07-Jan-21
8010431102,New Bhavani nagar,8010431,07-Jan-21,07-Jan-21
8010432103,K L Reddy Nagar,8010432,07-Jan-21,07-Jan-21
8010432104,HCL Colony,8010432,07-Jan-21,07-Jan-21
8010432105,Green Hills colony,8010432,07-Jan-21,07-Jan-21
8010433106,Surya Nagar Colony,8010433,07-Jan-21,07-Jan-21
8010433107,Bank Colony,8010433,07-Jan-21,07-Jan-21
8010433108,Venkataramana colony,8010433,07-Jan-21,07-Jan-21
8010434109,Gokul Nagar,8010434,07-Jan-21,07-Jan-21
8010434110,Shakti sai Nagar,8010434,07-Jan-21,07-Jan-21
8010434111,chanikyapuri colony,8010434,07-Jan-21,07-Jan-21
8010435112,Narasihma Nagar,8010435,07-Jan-21,07-Jan-21
8010435113,Annapurna Colony,8010435,07-Jan-21,07-Jan-21
8010435114,NTR Nagar,8010435,07-Jan-21,07-Jan-21
8010536115,Boduppal,8010536,07-Jan-21,07-Jan-21
8010536116,Penta Reddy Colony,8010536,07-Jan-21,07-Jan-21
8010536117,Saraswathi Colony,8010536,07-Jan-21,07-Jan-21
8010536118,Ram Reddy Nagar,8010536,07-Jan-21,07-Jan-21
8010536119,Vijaypuri Colony,8010536,07-Jan-21,07-Jan-21
8010537120,Maruthi Nagar,8010537,07-Jan-21,07-Jan-21
8010537121,Vivekananda Nagar,8010537,07-Jan-21,07-Jan-21
8010537122,NIN Colony,8010537,07-Jan-21,07-Jan-21
8010537123,Lecturers Colony,8010537,07-Jan-21,07-Jan-21
8010537124,Sri Laxmi Nagar,8010537,07-Jan-21,07-Jan-21
8010538125,Ashok Nagar,8010538,07-Jan-21,07-Jan-21
8010538126,Prashanthi Nagar,8010538,07-Jan-21,07-Jan-21
8010538127,Uday Nagar,8010538,07-Jan-21,07-Jan-21
8010538128,Vinayk Nagar,8010538,07-Jan-21,07-Jan-21
8010539129,Laxmi Nagar,8010539,07-Jan-21,07-Jan-21
8010539130,Keshav Nagar Phase -1,8010539,07-Jan-21,07-Jan-21
8010539131,Hanuman Nagar ,8010539,07-Jan-21,07-Jan-21
